event-id,visible,timestamp,location-long,location-lat,argos:lat1,argos:lat2,argos:lc,argos:lon1,argos:lon2,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
507904436,true,1996-07-12 08:08:00.000,15.668,59.751,59.751,59.751,"A",15.668,15.668,"argos-doppler-shift",,"Ma50-96/50-00","Ma50-96/50-00","Osprey (A), Southern Sweden"
507904437,true,1996-07-12 09:24:00.000,15.698,59.538,59.538,59.538,"A",15.698,15.698,"argos-doppler-shift",,"Ma50-96/50-00","Ma50-96/50-00","Osprey (A), Southern Sweden"
507904438,true,1996-07-15 16:54:00.000,15.173,59.573,59.573,59.573,"0",15.173,15.173,"argos-doppler-shift",,"Ma50-96/50-00","Ma50-96/50-00","Osprey (A), Southern Sweden"
507904439,true,1996-07-19 01:30:00.000,15.63,59.662,59.662,59.662,"0",15.63,15.63,"argos-doppler-shift",,"Ma50-96/50-00","Ma50-96/50-00","Osprey (A), Southern Sweden"
507904440,true,1996-07-19 03:11:00.000,15.483,59.71,59.71,59.71,"0",15.483,15.483,"argos-doppler-shift",,"Ma50-96/50-00","Ma50-96/50-00","Osprey (A), Southern Sweden"
507904441,true,1996-07-19 04:53:00.000,15.676,59.725,59.725,59.725,"0",15.676,15.676,"argos-doppler-shift",,"Ma50-96/50-00","Ma50-96/50-00","Osprey (A), Southern Sweden"
507904442,true,1996-07-22 14:19:00.000,17.022,60.041,60.041,60.041,"0",17.022,17.022,"argos-doppler-shift",,"Ma50-96/50-00","Ma50-96/50-00","Osprey (A), Southern Sweden"
507904443,true,1996-07-22 14:23:00.000,15.561,59.7,59.7,59.7,"1",15.561,15.561,"argos-doppler-shift",,"Ma50-96/50-00","Ma50-96/50-00","Osprey (A), Southern Sweden"
507904444,true,1996-07-26 01:54:00.000,15.478,59.691,59.691,59.691,"0",15.478,15.478,"argos-doppler-shift",,"Ma50-96/50-00","Ma50-96/50-00","Osprey (A), Southern Sweden"
507904445,true,1996-07-29 08:39:00.000,15.815,59.599,59.599,59.599,"A",15.815,15.815,"argos-doppler-shift",,"Ma50-96/50-00","Ma50-96/50-00","Osprey (A), Southern Sweden"
